uid,formula,lattice_param,prototype,spacegroup,gap,workfunction
HfO2-a555d8dafaf2,HfO2,3.25442806,CdI2,P-3m1,4.77668387,5.475641653
HgCl2-31f13a321b70,Cl2Hg,3.99399502,CdI2,P-3m1,2.447333359,6.39899181
PtSe2-d000f0288397,PtSe2,3.7482602,CdI2,P-3m1,1.166654501,4.883067187
SrI2-7d9241a9f3b1,I2Sr,4.83891592,CdI2,P-3m1,3.98383895,4.537399138
ZnBr2-88424f85cf2b,Br2Zn,3.79810708,CdI2,P-3m1,3.352786198,5.262960722
CaCl2-643810e6bb76,CaCl2,4.13762762,CdI2,P-3m1,5.783509189,5.26419731
NiO2-c444fe118e1b,NiO2,2.83960367,CdI2,P-3m1,1.281060179,7.455581738
PbBr2-0dc6977a707b,Br2Pb,4.48708705,CdI2,P-3m1,2.004139519,5.973856285
CdI2-b474b300c0f6,CdI2,4.32437512,CdI2,P-3m1,2.135734719,4.95994698
PdSe2-f7acacb69123,PdSe2,3.73485756,CdI2,P-3m1,0.55796554,5.057130921
ZnCl2-29e6de323923,Cl2Zn,3.59887499,CdI2,P-3m1,4.452870716,5.634222437
BaI2-080cc67ae6c9,BaI2,5.19190396,CdI2,P-3m1,3.87286104,4.6044345
HfS2-d48ddb34811e,HfS2,3.65218163,CdI2,P-3m1,1.2211274,5.725718485
MgBr2-702277c8c7ed,Br2Mg,3.88353341,CdI2,P-3m1,4.588106458,4.943855781
PbS2-b874a236aaca,PbS2,3.84799974,CdI2,P-3m1,0.75537681,6.389274821
PtTe2-747f8e0087c0,PtTe2,4.01582065,CdI2,P-3m1,0.302574413,4.133141719
ZnF2-eaf518aac509,F2Zn,3.1448391,CdI2,P-3m1,4.505831698,6.769433328
CaI2-ee886d522d75,CaI2,4.54879848,CdI2,P-3m1,3.537080409,4.589241332
MgCl2-85b63b2e4472,Cl2Mg,3.67292572,CdI2,P-3m1,5.941182341,5.278430532
PbCl2-ec34fbc566ef,Cl2Pb,4.39246166,CdI2,P-3m1,2.36657879,6.149192087
RuBr2-88699c6d39e3,Br2Ru,3.78040047,CdI2,P-3m1,1.045299664,4.190292118
SnI2-bf884c9076a0,I2Sn,4.57583834,CdI2,P-3m1,1.83661838,4.987980636
ZnI2-69f5f8718ba5,I2Zn,4.09989483,CdI2,P-3m1,1.749002181,4.951168175
ZrO2-f09f2879d995,O2Zr,3.26881641,CdI2,P-3m1,4.448263428,5.595226876
HgI2-efa4b9d311d3,HgI2,4.38710883,CdI2,P-3m1,1.199179091,5.268779444
NiS2-c07043374f26,NiS2,3.35364409,CdI2,P-3m1,0.583371809,5.499842783
PtO2-6f43cd15097d,O2Pt,3.14784517,CdI2,P-3m1,1.673977171,6.033180903
GeI2-24970c2cdc0f,GeI2,4.30043679,CdI2,P-3m1,1.953958364,4.882507869
HfSe2-7a708c5759cf,HfSe2,3.77259991,CdI2,P-3m1,0.426561525,5.159712886
MgI2-440644551de5,I2Mg,4.20736847,CdI2,P-3m1,3.272822082,4.437420497
PbSe2-d0003c75d651,PbSe2,3.99920734,CdI2,P-3m1,0.081973748,5.884970684
RuCl2-6be75763d9c1,Cl2Ru,3.59316907,CdI2,P-3m1,1.181257204,4.363797805
SrBr2-a17f01139eff,Br2Sr,4.61197829,CdI2,P-3m1,4.928634519,4.953837611
SnO2-9c24e87a3dde,O2Sn,3.21950807,CdI2,P-3m1,2.682843652,6.988808383
ZrS2-8913f4e54692,S2Zr,3.6822718,CdI2,P-3m1,1.159195497,5.845905084
HgF2-24d1e0feea03,F2Hg,3.65913692,CdI2,P-3m1,1.728121897,7.123125595
CdBr2-5acf0d634aa9,Br2Cd,4.06207609,CdI2,P-3m1,3.069156178,5.593303724
PbI2-82db29775962,I2Pb,4.6600897,CdI2,P-3m1,1.49944992,5.548763736
PdO2-de604d79f9c3,O2Pd,3.09382425,CdI2,P-3m1,1.378933551,6.829593527
SiS2-c70107ea4985,S2Si,3.30480244,CdI2,P-3m1,1.382733881,5.781636525
SrCl2-67727fec854b,Cl2Sr,4.46277773,CdI2,P-3m1,5.738033299,5.070850727
GeO2-630e9718ed1f,GeO2,2.90377236,CdI2,P-3m1,3.641316492,7.04706421
NiSe2-c1ffa88ee5ca,NiSe2,3.54174768,CdI2,P-3m1,0.060187922,4.845911137
PtS2-77caffd1d3ed,PtS2,3.57363214,CdI2,P-3m1,1.688257166,5.402224097
SiSe2-0dae128e0ffe,Se2Si,3.50823899,CdI2,P-3m1,0.466866037,5.408578295
Al2S2-f9df9f4a5c34,Al2S2,3.58400521,GaS,P-6m2,2.085252661,5.163809399
S2Tl2-751e767bff79,S2Tl2,4.05745288,GaS,P-6m2,0.673280309,5.973931389
Te2Zr2-8912432cb37b,Te2Zr2,3.74868191,GaS,P-6m2,0.452147358,4.606768192
Bi2O2-53ac438f321b,Bi2O2,3.97632396,GaS,P-6m2,0.120277018,4.27990601
Al2Se2-129a514b51ad,Al2Se2,3.77772116,GaS,P-6m2,1.997465295,4.826839293
Ga2Te2-55c23ca88a05,Ga2Te2,4.13021594,GaS,P-6m2,1.296655621,4.520218015
BN-4a5edc763604,BN,2.51026699,BN,P-6m2,4.666851528,3.487390925
BP-0a5e44762c75,BP,3.2158238,BN,P-6m2,0.898202962,4.678339284
In2Se2-eb204c739879,In2Se2,4.07424481,GaS,P-6m2,1.404067454,5.209477756
